Final Score Set,Total Count
"(114, 113)",24
"(97, 117)",24
"(118, 121)",24
"(96, 114)",24
"(91, 111)",24
"(94, 84)",24
"(112, 124)",24
"(94, 85)",24
"(82, 91)",24
"(97, 85)",24
"(79, 90)",24
"(117, 114)",24
"(87, 88)",24
"(87, 105)",24
"(92, 85)",24
"(99, 88)",24
"(100, 116)",24
"(97, 86)",23
"(90, 85)",23
"(87, 86)",23
"(114, 104)",23
"(119, 122)",23
"(81, 91)",23
"(88, 111)",23
"(117, 111)",23
"(80, 90)",23
"(93, 85)",23
"(117, 105)",23
"(80, 93)",23
"(117, 121)",23
"(120, 121)",23
"(85, 89)",23
"(82, 88)",23
"(116, 121)",23
"(90, 107)",23
"(80, 94)",23
"(115, 101)",23
"(95, 113)",23
"(119, 114)",23
"(103, 121)",23
"(100, 122)",23
"(99, 85)",23
"(114, 123)",23
"(100, 121)",23
"(83, 91)",23
"(100, 119)",23
"(112, 101)",23
"(101, 121)",23
"(114, 115)",23
"(107, 120)",23
"(111, 121)",23
"(99, 87)",23
"(114, 100)",23
"(106, 122)",23
"(84, 86)",22
"(84, 88)",22
"(105, 89)",22
"(116, 124)",22
"(121, 113)",22
"(108, 93)",22
"(94, 82)",22
"(117, 116)",22
"(85, 100)",22
"(93, 86)",22
"(98, 89)",22
"(92, 93)",22
"(118, 120)",22
"(92, 84)",22
"(100, 120)",22
"(111, 99)",22
"(112, 97)",22
"(99, 120)",22
"(118, 126)",22
"(99, 119)",22
"(82, 101)",22
"(82, 97)",22
"(83, 99)",22
"(82, 86)",22
"(120, 115)",22
"(113, 99)",22
"(115, 102)",22
"(90, 109)",22
"(94, 118)",22
"(113, 96)",22
"(78, 85)",22
"(95, 83)",22
"(98, 85)",22
"(85, 103)",21
"(86, 103)",21
"(93, 116)",21
"(85, 104)",21
"(112, 126)",21
"(99, 121)",21
"(117, 118)",21
"(106, 92)",21
"(119, 121)",21
"(88, 105)",21
"(113, 124)",21
"(91, 90)",21
"(108, 95)",21
"(104, 91)",21
"(115, 124)",21
"(115, 125)",21
"(120, 127)",21
"(108, 125)",21
"(109, 125)",21
"(90, 83)",21
"(89, 81)",21
"(116, 105)",21
"(107, 124)",21
"(107, 123)",21
"(84, 95)",21
"(101, 123)",21
"(123, 117)",21
"(103, 119)",21
"(120, 112)",21
"(92, 113)",21
"(120, 108)",21
"(95, 117)",21
"(119, 110)",21
"(86, 105)",21
"(89, 83)",20
"(119, 107)",20
"(119, 109)",20
"(89, 86)",20
"(123, 115)",20
"(89, 88)",20
"(118, 108)",20
"(88, 110)",20
"(91, 113)",20
"(119, 127)",20
"(121, 111)",20
"(87, 108)",20
"(85, 107)",20
"(92, 116)",20
"(118, 114)",20
"(90, 91)",20
"(120, 117)",20
"(120, 122)",20
"(93, 81)",20
"(124, 117)",20
"(123, 116)",20
"(101, 122)",20
"(116, 125)",20
"(101, 87)",20
"(94, 115)",20
"(79, 92)",20
"(116, 117)",20
"(112, 99)",20
"(100, 90)",20
"(100, 87)",20
"(100, 86)",20
"(100, 85)",20
"(95, 115)",20
"(80, 97)",20
"(99, 86)",20
"(98, 119)",20
"(113, 121)",20
"(113, 123)",20
"(81, 96)",20
"(82, 96)",20
"(97, 122)",20
